probe,layer,head,drop,filename,true_label,predicted_label
texture,3,4,0.0200,biological_23.jpg,biological,trash
texture,3,4,0.0200,cardboard_149.jpg,cardboard,battery
texture,3,4,0.0200,trash_229.jpg,trash,glass
texture,3,4,0.0200,clothes_206.jpg,clothes,shoes
texture,3,4,0.0200,metal_27.jpg,metal,clothes
texture,3,4,0.0200,cardboard_222.jpg,cardboard,shoes
texture,3,4,0.0200,battery_190.jpg,battery,biological
texture,3,4,0.0200,metal_271.jpg,metal,paper
texture,3,4,0.0200,cardboard_214.jpg,cardboard,clothes
texture,3,4,0.0200,cardboard_160.jpg,cardboard,trash
shape,10,11,0.0200,biological_23.jpg,biological,cardboard
shape,10,11,0.0200,cardboard_149.jpg,cardboard,glass
shape,10,11,0.0200,trash_229.jpg,trash,glass
shape,10,11,0.0200,clothes_206.jpg,clothes,shoes
shape,10,11,0.0200,metal_27.jpg,metal,biological
shape,10,11,0.0200,cardboard_222.jpg,cardboard,biological
shape,10,11,0.0200,battery_190.jpg,battery,biological
shape,10,11,0.0200,metal_271.jpg,metal,paper
shape,10,11,0.0200,cardboard_214.jpg,cardboard,battery
shape,10,11,0.0200,cardboard_160.jpg,cardboard,shoes
spatial,8,1,0.0177,biological_23.jpg,biological,cardboard
spatial,8,1,0.0177,cardboard_149.jpg,cardboard,glass
spatial,8,1,0.0177,trash_229.jpg,trash,metal
spatial,8,1,0.0177,clothes_206.jpg,clothes,shoes
spatial,8,1,0.0177,metal_27.jpg,metal,biological
spatial,8,1,0.0177,glass_246.jpg,glass,trash
spatial,8,1,0.0177,cardboard_222.jpg,cardboard,shoes
spatial,8,1,0.0177,battery_190.jpg,battery,biological
spatial,8,1,0.0177,metal_271.jpg,metal,paper
spatial,8,1,0.0177,cardboard_214.jpg,cardboard,battery
