layer	head	probe	baseline	ablated_acc	drop	macro_f1
0	0	clean	0.1242	0.1264	-0.0022	0.1262
0	0	texture	0.1242	0.1220	+0.0022	0.1186
0	0	shape	0.1131	0.1064	+0.0067	0.1119
0	0	spatial	0.1353	0.1330	+0.0022	0.1286
0	1	clean	0.1242	0.1242	+0.0000	0.1246
0	1	texture	0.1242	0.1242	+0.0000	0.1218
0	1	shape	0.1131	0.1153	-0.0022	0.1215
0	1	spatial	0.1353	0.1242	+0.0111	0.1207
0	2	clean	0.1242	0.1308	-0.0067	0.1309
0	2	texture	0.1242	0.1264	-0.0022	0.1228
0	2	shape	0.1131	0.1197	-0.0067	0.1243
0	2	spatial	0.1353	0.1308	+0.0044	0.1279
0	3	clean	0.1242	0.1220	+0.0022	0.1212
0	3	texture	0.1242	0.1264	-0.0022	0.1234
0	3	shape	0.1131	0.1086	+0.0044	0.1141
0	3	spatial	0.1353	0.1330	+0.0022	0.1287
0	4	clean	0.1242	0.1242	+0.0000	0.1251
0	4	texture	0.1242	0.1264	-0.0022	0.1231
0	4	shape	0.1131	0.1109	+0.0022	0.1176
0	4	spatial	0.1353	0.1308	+0.0044	0.1259
0	5	clean	0.1242	0.1286	-0.0044	0.1280
0	5	texture	0.1242	0.1264	-0.0022	0.1227
0	5	shape	0.1131	0.1109	+0.0022	0.1169
0	5	spatial	0.1353	0.1330	+0.0022	0.1294
0	6	clean	0.1242	0.1086	+0.0155	0.1125
0	6	texture	0.1242	0.1086	+0.0155	0.1073
0	6	shape	0.1131	0.1242	-0.0111	0.1195
0	6	spatial	0.1353	0.1197	+0.0155	0.1219
0	7	clean	0.1242	0.1308	-0.0067	0.1320
0	7	texture	0.1242	0.1264	-0.0022	0.1236
0	7	shape	0.1131	0.1153	-0.0022	0.1210
0	7	spatial	0.1353	0.1286	+0.0067	0.1247
0	8	clean	0.1242	0.1264	-0.0022	0.1263
0	8	texture	0.1242	0.1242	+0.0000	0.1219
0	8	shape	0.1131	0.1131	+0.0000	0.1191
0	8	spatial	0.1353	0.1353	+0.0000	0.1320
0	9	clean	0.1242	0.1264	-0.0022	0.1259
0	9	texture	0.1242	0.1264	-0.0022	0.1231
0	9	shape	0.1131	0.1175	-0.0044	0.1226
0	9	spatial	0.1353	0.1308	+0.0044	0.1277
0	10	clean	0.1242	0.1264	-0.0022	0.1247
0	10	texture	0.1242	0.1197	+0.0044	0.1168
0	10	shape	0.1131	0.1109	+0.0022	0.1170
0	10	spatial	0.1353	0.1330	+0.0022	0.1306
0	11	clean	0.1242	0.1286	-0.0044	0.1283
0	11	texture	0.1242	0.1242	+0.0000	0.1194
0	11	shape	0.1131	0.1131	+0.0000	0.1192
0	11	spatial	0.1353	0.1353	+0.0000	0.1310
1	0	clean	0.1242	0.1175	+0.0067	0.1180
1	0	texture	0.1242	0.1264	-0.0022	0.1224
1	0	shape	0.1131	0.1109	+0.0022	0.1170
1	0	spatial	0.1353	0.1264	+0.0089	0.1231
1	1	clean	0.1242	0.1264	-0.0022	0.1261
1	1	texture	0.1242	0.1220	+0.0022	0.1195
1	1	shape	0.1131	0.1153	-0.0022	0.1212
1	1	spatial	0.1353	0.1330	+0.0022	0.1284
1	2	clean	0.1242	0.1153	+0.0089	0.1141
1	2	texture	0.1242	0.1264	-0.0022	0.1239
1	2	shape	0.1131	0.1153	-0.0022	0.1183
1	2	spatial	0.1353	0.1308	+0.0044	0.1275
1	3	clean	0.1242	0.1220	+0.0022	0.1221
1	3	texture	0.1242	0.1220	+0.0022	0.1185
1	3	shape	0.1131	0.1153	-0.0022	0.1225
1	3	spatial	0.1353	0.1308	+0.0044	0.1264
1	4	clean	0.1242	0.1242	+0.0000	0.1238
1	4	texture	0.1242	0.1220	+0.0022	0.1188
1	4	shape	0.1131	0.1109	+0.0022	0.1169
1	4	spatial	0.1353	0.1220	+0.0133	0.1157
1	5	clean	0.1242	0.1242	+0.0000	0.1247
1	5	texture	0.1242	0.1242	+0.0000	0.1209
1	5	shape	0.1131	0.1064	+0.0067	0.1126
1	5	spatial	0.1353	0.1330	+0.0022	0.1292
1	6	clean	0.1242	0.1220	+0.0022	0.1229
1	6	texture	0.1242	0.1242	+0.0000	0.1214
1	6	shape	0.1131	0.1131	+0.0000	0.1189
1	6	spatial	0.1353	0.1330	+0.0022	0.1286
1	7	clean	0.1242	0.1175	+0.0067	0.1176
1	7	texture	0.1242	0.1220	+0.0022	0.1199
1	7	shape	0.1131	0.1131	+0.0000	0.1183
1	7	spatial	0.1353	0.1286	+0.0067	0.1232
